latitude,longitude,elevation,time
51.523045,-0.171245,34.0,2023-05-19 15:33:02+00:00
51.52308,-0.171253,34.0,2023-05-19 15:33:03+00:00
51.523094,-0.171251,34.1,2023-05-19 15:33:04+00:00
51.523107,-0.171249,34.1,2023-05-19 15:33:05+00:00
51.52312,-0.171239,34.1,2023-05-19 15:33:06+00:00
51.523136,-0.171228,34.1,2023-05-19 15:33:07+00:00
51.523168,-0.171214,34.2,2023-05-19 15:33:08+00:00
51.523185,-0.171206,34.2,2023-05-19 15:33:09+00:00
51.523213,-0.171195,34.2,2023-05-19 15:33:10+00:00
51.523252,-0.171187,34.2,2023-05-19 15:33:11+00:00
51.523289,-0.171171,34.2,2023-05-19 15:33:12+00:00
51.523321,-0.171157,34.2,2023-05-19 15:33:13+00:00
51.523349,-0.171151,34.2,2023-05-19 15:33:14+00:00
51.523377,-0.171128,34.2,2023-05-19 15:33:15+00:00
51.523385,-0.171074,34.2,2023-05-19 15:33:16+00:00
51.523393,-0.17104,34.2,2023-05-19 15:33:17+00:00
51.523396,-0.171016,34.2,2023-05-19 15:33:18+00:00
51.523399,-0.170959,34.2,2023-05-19 15:33:19+00:00
51.523412,-0.170913,34.3,2023-05-19 15:33:20+00:00
51.523408,-0.17088,34.3,2023-05-19 15:33:21+00:00
51.523409,-0.170817,34.4,2023-05-19 15:33:22+00:00
51.523437,-0.170814,34.4,2023-05-19 15:33:23+00:00
51.523469,-0.170792,34.5,2023-05-19 15:33:24+00:00
51.523481,-0.170792,34.5,2023-05-19 15:33:25+00:00
51.523494,-0.170782,34.5,2023-05-19 15:33:26+00:00
51.523498,-0.17075,34.6,2023-05-19 15:33:27+00:00
51.523519,-0.170668,34.6,2023-05-19 15:33:28+00:00
51.523529,-0.170625,34.6,2023-05-19 15:33:29+00:00
51.523547,-0.170576,34.6,2023-05-19 15:33:30+00:00
51.523549,-0.170497,34.6,2023-05-19 15:33:31+00:00
51.523552,-0.170445,34.6,2023-05-19 15:33:32+00:00
51.523579,-0.170376,34.6,2023-05-19 15:33:34+00:00
51.523587,-0.170352,34.6,2023-05-19 15:33:35+00:00
51.523595,-0.170328,34.7,2023-05-19 15:33:36+00:00
51.523592,-0.170268,34.7,2023-05-19 15:33:37+00:00
51.523601,-0.170207,34.8,2023-05-19 15:33:38+00:00
51.523603,-0.170157,34.8,2023-05-19 15:33:39+00:00
51.523622,-0.170126,34.9,2023-05-19 15:33:40+00:00
51.52364,-0.17009,34.9,2023-05-19 15:33:41+00:00
51.523649,-0.170079,34.9,2023-05-19 15:33:42+00:00
51.523672,-0.17003,35.0,2023-05-19 15:33:43+00:00
51.523681,-0.17001,35.0,2023-05-19 15:33:44+00:00
51.523704,-0.169968,35.1,2023-05-19 15:33:45+00:00
51.523726,-0.169932,35.1,2023-05-19 15:33:46+00:00
51.523736,-0.169922,35.1,2023-05-19 15:33:47+00:00
51.523759,-0.169884,35.2,2023-05-19 15:33:48+00:00
51.523768,-0.169868,35.2,2023-05-19 15:33:49+00:00
51.52379,-0.169839,35.2,2023-05-19 15:33:50+00:00
51.523808,-0.169781,35.3,2023-05-19 15:33:51+00:00
51.523817,-0.169762,35.3,2023-05-19 15:33:52+00:00
51.523847,-0.169723,35.3,2023-05-19 15:33:53+00:00
51.523857,-0.169705,35.3,2023-05-19 15:33:54+00:00
51.523889,-0.169687,35.3,2023-05-19 15:33:55+00:00
51.523924,-0.169673,35.4,2023-05-19 15:33:56+00:00
51.52394,-0.169628,35.4,2023-05-19 15:33:57+00:00
51.523971,-0.169589,35.4,2023-05-19 15:33:58+00:00
51.523985,-0.169574,35.4,2023-05-19 15:33:59+00:00
51.524019,-0.169555,35.4,2023-05-19 15:34:00+00:00
51.524045,-0.169507,35.5,2023-05-19 15:34:01+00:00
51.524054,-0.169487,35.5,2023-05-19 15:34:02+00:00
51.524082,-0.169456,35.5,2023-05-19 15:34:03+00:00
51.524107,-0.169437,35.5,2023-05-19 15:34:04+00:00
51.524136,-0.169402,35.5,2023-05-19 15:34:05+00:00
51.524141,-0.169385,35.5,2023-05-19 15:34:06+00:00
51.524155,-0.169341,35.5,2023-05-19 15:34:07+00:00
51.524156,-0.169326,35.5,2023-05-19 15:34:08+00:00
51.52416,-0.169298,35.6,2023-05-19 15:34:09+00:00
51.524174,-0.169276,35.6,2023-05-19 15:34:10+00:00
51.524202,-0.169244,35.6,2023-05-19 15:34:11+00:00
51.524215,-0.169231,35.6,2023-05-19 15:34:12+00:00
51.524238,-0.169204,35.6,2023-05-19 15:34:13+00:00
51.524257,-0.16917,35.6,2023-05-19 15:34:14+00:00
51.524281,-0.169131,35.6,2023-05-19 15:34:15+00:00
51.524288,-0.169116,35.6,2023-05-19 15:34:16+00:00
51.524313,-0.169082,35.6,2023-05-19 15:34:17+00:00
51.524322,-0.169068,35.6,2023-05-19 15:34:18+00:00
51.524351,-0.169023,35.6,2023-05-19 15:34:19+00:00
51.524365,-0.16901,35.6,2023-05-19 15:34:20+00:00
51.524396,-0.168965,35.6,2023-05-19 15:34:21+00:00
51.52441,-0.168953,35.6,2023-05-19 15:34:22+00:00
51.524423,-0.168906,35.6,2023-05-19 15:34:23+00:00
51.524427,-0.168854,35.6,2023-05-19 15:34:24+00:00
51.524439,-0.168809,35.6,2023-05-19 15:34:25+00:00
51.524465,-0.168794,35.7,2023-05-19 15:34:26+00:00
51.524488,-0.168761,35.7,2023-05-19 15:34:27+00:00
51.52452,-0.168729,35.7,2023-05-19 15:34:28+00:00
51.524532,-0.168718,35.7,2023-05-19 15:34:29+00:00
51.524564,-0.168679,35.7,2023-05-19 15:34:30+00:00
51.524577,-0.168667,35.7,2023-05-19 15:34:31+00:00
51.524599,-0.16864,35.7,2023-05-19 15:34:32+00:00
51.52463,-0.168597,35.7,2023-05-19 15:34:33+00:00
