latitude,longitude,elevation,time
51.523061,-0.171227,34.0,2023-05-21 18:02:24+00:00
51.523071,-0.171224,34.1,2023-05-21 18:02:25+00:00
51.523077,-0.171213,34.1,2023-05-21 18:02:26+00:00
51.523082,-0.171203,34.1,2023-05-21 18:02:27+00:00
51.523087,-0.171192,34.1,2023-05-21 18:02:28+00:00
51.523092,-0.171182,34.1,2023-05-21 18:02:29+00:00
51.523097,-0.171171,34.1,2023-05-21 18:02:30+00:00
51.523102,-0.17116,34.1,2023-05-21 18:02:31+00:00
51.523108,-0.17115,34.1,2023-05-21 18:02:32+00:00
51.523113,-0.171139,34.1,2023-05-21 18:02:33+00:00
51.523124,-0.171086,34.1,2023-05-21 18:02:34+00:00
51.523132,-0.171042,34.1,2023-05-21 18:02:35+00:00
51.523149,-0.170998,34.1,2023-05-21 18:02:36+00:00
51.523151,-0.170984,34.1,2023-05-21 18:02:37+00:00
51.523178,-0.17093,34.2,2023-05-21 18:02:38+00:00
51.523189,-0.170908,34.2,2023-05-21 18:02:39+00:00
51.52321,-0.170863,34.2,2023-05-21 18:02:40+00:00
51.523236,-0.170811,34.2,2023-05-21 18:02:41+00:00
51.523246,-0.170794,34.2,2023-05-21 18:02:42+00:00
51.523354,-0.170791,34.3,2023-05-21 18:02:43+00:00
51.523376,-0.170755,34.4,2023-05-21 18:02:44+00:00
51.523406,-0.170732,34.4,2023-05-21 18:02:45+00:00
51.523418,-0.170692,34.4,2023-05-21 18:02:46+00:00
51.52343,-0.170645,34.5,2023-05-21 18:02:47+00:00
51.523441,-0.170601,34.5,2023-05-21 18:02:48+00:00
51.523454,-0.170561,34.5,2023-05-21 18:02:49+00:00
51.523464,-0.170503,34.6,2023-05-21 18:02:50+00:00
51.523464,-0.170478,34.6,2023-05-21 18:02:51+00:00
51.523494,-0.170456,34.6,2023-05-21 18:02:52+00:00
51.523515,-0.170401,34.6,2023-05-21 18:02:53+00:00
51.523523,-0.170381,34.7,2023-05-21 18:02:54+00:00
51.523531,-0.170338,34.7,2023-05-21 18:02:55+00:00
51.523538,-0.170307,34.7,2023-05-21 18:02:56+00:00
51.523545,-0.170283,34.7,2023-05-21 18:02:57+00:00
51.52355,-0.170214,34.8,2023-05-21 18:02:58+00:00
51.523551,-0.170187,34.8,2023-05-21 18:02:59+00:00
51.523568,-0.170148,34.8,2023-05-21 18:03:00+00:00
51.523569,-0.170093,34.9,2023-05-21 18:03:01+00:00
51.523571,-0.170077,34.9,2023-05-21 18:03:02+00:00
51.523588,-0.170025,34.9,2023-05-21 18:03:03+00:00
51.523596,-0.170007,35.0,2023-05-21 18:03:04+00:00
51.523614,-0.169971,35.0,2023-05-21 18:03:05+00:00
51.52363,-0.169928,35.0,2023-05-21 18:03:06+00:00
51.523632,-0.169913,35.1,2023-05-21 18:03:07+00:00
51.523658,-0.169881,35.1,2023-05-21 18:03:08+00:00
51.52368,-0.169829,35.2,2023-05-21 18:03:09+00:00
51.523688,-0.169814,35.2,2023-05-21 18:03:10+00:00
51.523721,-0.16978,35.2,2023-05-21 18:03:11+00:00
51.523739,-0.16977,35.2,2023-05-21 18:03:12+00:00
51.523763,-0.16972,35.3,2023-05-21 18:03:13+00:00
51.523775,-0.169707,35.3,2023-05-21 18:03:14+00:00
51.523799,-0.169681,35.3,2023-05-21 18:03:15+00:00
51.523819,-0.169648,35.3,2023-05-21 18:03:16+00:00
51.523813,-0.169599,35.4,2023-05-21 18:03:17+00:00
51.523843,-0.169585,35.4,2023-05-21 18:03:18+00:00
51.523863,-0.169546,35.4,2023-05-21 18:03:19+00:00
51.523875,-0.16954,35.4,2023-05-21 18:03:20+00:00
51.523904,-0.169524,35.4,2023-05-21 18:03:21+00:00
51.523933,-0.169471,35.4,2023-05-21 18:03:22+00:00
51.523949,-0.169455,35.5,2023-05-21 18:03:23+00:00
51.523973,-0.169424,35.5,2023-05-21 18:03:24+00:00
51.524001,-0.169383,35.5,2023-05-21 18:03:25+00:00
51.524008,-0.169368,35.5,2023-05-21 18:03:26+00:00
51.524029,-0.169323,35.5,2023-05-21 18:03:27+00:00
51.524032,-0.169308,35.5,2023-05-21 18:03:28+00:00
51.524052,-0.169277,35.5,2023-05-21 18:03:29+00:00
51.524081,-0.16924,35.5,2023-05-21 18:03:30+00:00
51.524088,-0.169226,35.5,2023-05-21 18:03:31+00:00
51.524119,-0.169195,35.6,2023-05-21 18:03:32+00:00
51.524133,-0.169183,35.6,2023-05-21 18:03:33+00:00
51.524146,-0.169139,35.6,2023-05-21 18:03:34+00:00
51.524152,-0.169124,35.6,2023-05-21 18:03:35+00:00
51.524182,-0.169101,35.6,2023-05-21 18:03:36+00:00
51.524206,-0.169057,35.6,2023-05-21 18:03:37+00:00
51.524214,-0.169043,35.6,2023-05-21 18:03:38+00:00
51.52424,-0.169021,35.6,2023-05-21 18:03:39+00:00
51.524261,-0.168982,35.6,2023-05-21 18:03:40+00:00
51.524265,-0.168964,35.6,2023-05-21 18:03:41+00:00
51.524291,-0.168926,35.6,2023-05-21 18:03:42+00:00
51.524299,-0.168913,35.6,2023-05-21 18:03:43+00:00
51.524318,-0.168867,35.6,2023-05-21 18:03:44+00:00
51.524325,-0.168849,35.6,2023-05-21 18:03:45+00:00
51.524344,-0.168805,35.6,2023-05-21 18:03:46+00:00
51.524352,-0.168793,35.6,2023-05-21 18:03:47+00:00
51.524381,-0.168757,35.6,2023-05-21 18:03:48+00:00
51.524391,-0.168746,35.6,2023-05-21 18:03:49+00:00
51.524414,-0.1687,35.7,2023-05-21 18:03:50+00:00
51.524423,-0.168689,35.7,2023-05-21 18:03:51+00:00
51.524443,-0.168652,35.7,2023-05-21 18:03:52+00:00
51.524453,-0.168639,35.7,2023-05-21 18:03:53+00:00
51.524478,-0.168607,35.7,2023-05-21 18:03:54+00:00
51.524485,-0.168594,35.7,2023-05-21 18:03:55+00:00
51.524498,-0.168547,35.7,2023-05-21 18:03:56+00:00
