latitude,longitude,elevation,time
51.523158,-0.17117,34.1,2023-05-23 17:46:44+00:00
51.523173,-0.171174,34.1,2023-05-23 17:46:45+00:00
51.523178,-0.171176,34.1,2023-05-23 17:46:46+00:00
51.523182,-0.171179,34.1,2023-05-23 17:46:47+00:00
51.523187,-0.171181,34.1,2023-05-23 17:46:48+00:00
51.523192,-0.171184,34.1,2023-05-23 17:46:49+00:00
51.523197,-0.171187,34.1,2023-05-23 17:46:50+00:00
51.523202,-0.171189,34.1,2023-05-23 17:46:51+00:00
51.523206,-0.171192,34.1,2023-05-23 17:46:52+00:00
51.523211,-0.171194,34.1,2023-05-23 17:46:53+00:00
51.523216,-0.171197,34.1,2023-05-23 17:46:54+00:00
51.523236,-0.171182,34.1,2023-05-23 17:46:55+00:00
51.523241,-0.171164,34.1,2023-05-23 17:46:56+00:00
51.523239,-0.171096,34.2,2023-05-23 17:46:57+00:00
51.523252,-0.171041,34.2,2023-05-23 17:46:58+00:00
51.523343,-0.171009,34.2,2023-05-23 17:46:59+00:00
51.523347,-0.170923,34.3,2023-05-23 17:47:00+00:00
51.523346,-0.170877,34.3,2023-05-23 17:47:01+00:00
51.523356,-0.170836,34.3,2023-05-23 17:47:02+00:00
51.523377,-0.170788,34.4,2023-05-23 17:47:03+00:00
51.523385,-0.170772,34.4,2023-05-23 17:47:04+00:00
51.523408,-0.170744,34.4,2023-05-23 17:47:05+00:00
51.523426,-0.170712,34.4,2023-05-23 17:47:06+00:00
51.523454,-0.170674,34.5,2023-05-23 17:47:07+00:00
51.523468,-0.170621,34.5,2023-05-23 17:47:08+00:00
51.52348,-0.170608,34.5,2023-05-23 17:47:09+00:00
51.523507,-0.17057,34.6,2023-05-23 17:47:10+00:00
51.523519,-0.170522,34.6,2023-05-23 17:47:11+00:00
51.523539,-0.17048,34.6,2023-05-23 17:47:12+00:00
51.523565,-0.170435,34.7,2023-05-23 17:47:13+00:00
51.523574,-0.170418,34.7,2023-05-23 17:47:14+00:00
51.523592,-0.170378,34.7,2023-05-23 17:47:16+00:00
51.523598,-0.170334,34.7,2023-05-23 17:47:17+00:00
51.523614,-0.170299,34.8,2023-05-23 17:47:18+00:00
51.523628,-0.17024,34.8,2023-05-23 17:47:19+00:00
51.523628,-0.170213,34.8,2023-05-23 17:47:20+00:00
51.523636,-0.170161,34.9,2023-05-23 17:47:21+00:00
51.523639,-0.170144,34.9,2023-05-23 17:47:22+00:00
51.523645,-0.170113,34.9,2023-05-23 17:47:23+00:00
51.523651,-0.17009,35.0,2023-05-23 17:47:24+00:00
51.523672,-0.170032,35.0,2023-05-23 17:47:25+00:00
51.52368,-0.17001,35.0,2023-05-23 17:47:26+00:00
51.523701,-0.169967,35.1,2023-05-23 17:47:27+00:00
51.52371,-0.16995,35.1,2023-05-23 17:47:28+00:00
51.523727,-0.169915,35.2,2023-05-23 17:47:29+00:00
51.523748,-0.169887,35.2,2023-05-23 17:47:30+00:00
51.523772,-0.16986,35.2,2023-05-23 17:47:31+00:00
51.52379,-0.169826,35.2,2023-05-23 17:47:32+00:00
51.523814,-0.169781,35.3,2023-05-23 17:47:33+00:00
51.523824,-0.169771,35.3,2023-05-23 17:47:34+00:00
51.523845,-0.169719,35.3,2023-05-23 17:47:35+00:00
51.523848,-0.1697,35.3,2023-05-23 17:47:36+00:00
51.523878,-0.169663,35.4,2023-05-23 17:47:37+00:00
51.523892,-0.169649,35.4,2023-05-23 17:47:38+00:00
51.523921,-0.169626,35.4,2023-05-23 17:47:39+00:00
51.523941,-0.169581,35.4,2023-05-23 17:47:40+00:00
51.523967,-0.169556,35.4,2023-05-23 17:47:41+00:00
51.523988,-0.169523,35.4,2023-05-23 17:47:42+00:00
51.524018,-0.169485,35.5,2023-05-23 17:47:43+00:00
51.524043,-0.16945,35.5,2023-05-23 17:47:44+00:00
51.524068,-0.169422,35.5,2023-05-23 17:47:45+00:00
51.524098,-0.1694,35.5,2023-05-23 17:47:46+00:00
51.524113,-0.169361,35.5,2023-05-23 17:47:47+00:00
51.524142,-0.169331,35.5,2023-05-23 17:47:48+00:00
51.52415,-0.169318,35.5,2023-05-23 17:47:49+00:00
51.524177,-0.169286,35.6,2023-05-23 17:47:50+00:00
51.524185,-0.169273,35.6,2023-05-23 17:47:51+00:00
51.524204,-0.169232,35.6,2023-05-23 17:47:52+00:00
51.524212,-0.169213,35.6,2023-05-23 17:47:53+00:00
51.524238,-0.169175,35.6,2023-05-23 17:47:54+00:00
51.524247,-0.16916,35.6,2023-05-23 17:47:55+00:00
51.524263,-0.169123,35.6,2023-05-23 17:47:56+00:00
51.524285,-0.169085,35.6,2023-05-23 17:47:57+00:00
51.524312,-0.169055,35.6,2023-05-23 17:47:58+00:00
51.52434,-0.169008,35.6,2023-05-23 17:47:59+00:00
51.52435,-0.16899,35.6,2023-05-23 17:48:00+00:00
51.524376,-0.168962,35.6,2023-05-23 17:48:01+00:00
51.52439,-0.168911,35.6,2023-05-23 17:48:02+00:00
51.524395,-0.168893,35.6,2023-05-23 17:48:03+00:00
51.524419,-0.168857,35.6,2023-05-23 17:48:04+00:00
